Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.066666666666666652e+00
3.000000000000000000e+00,1.127272727272727426e+00
4.000000000000000000e+00,1.181818181818181657e+00
5.000000000000000000e+00,1.230303030303030454e+00
6.000000000000000000e+00,1.272727272727272707e+00
7.000000000000000000e+00,1.309090909090908861e+00
8.000000000000000000e+00,1.339393939393939581e+00
9.000000000000000000e+00,1.363636363636363757e+00
1.000000000000000000e+01,1.381818181818181834e+00
1.100000000000000000e+01,1.393939393939394034e+00
1.200000000000000000e+01,1.399999999999999911e+00
1.300000000000000000e+01,1.399999999999999911e+00
1.400000000000000000e+01,1.393939393939393812e+00
1.500000000000000000e+01,1.381818181818181834e+00
1.600000000000000000e+01,1.363636363636363757e+00
1.700000000000000000e+01,1.339393939393939581e+00
1.800000000000000000e+01,1.309090909090908639e+00
1.900000000000000000e+01,1.272727272727272707e+00
2.000000000000000000e+01,1.230303030303030454e+00
2.100000000000000000e+01,1.181818181818181879e+00
2.200000000000000000e+01,1.127272727272727204e+00
2.300000000000000000e+01,1.066666666666666652e+00
2.400000000000000000e+01,1.000000000000000000e+00
