Position,Value
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.666666666666666852e-01
3.000000000000000000e+00,3.181818181818182323e-01
4.000000000000000000e+00,4.545454545454545858e-01
5.000000000000000000e+00,5.757575757575758013e-01
6.000000000000000000e+00,6.818181818181818787e-01
7.000000000000000000e+00,7.727272727272725961e-01
8.000000000000000000e+00,8.484848484848486194e-01
9.000000000000000000e+00,9.090909090909091717e-01
1.000000000000000000e+01,9.545454545454545858e-01
1.100000000000000000e+01,9.848484848484849730e-01
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,9.848484848484849730e-01
1.500000000000000000e+01,9.545454545454545858e-01
1.600000000000000000e+01,9.090909090909091717e-01
1.700000000000000000e+01,8.484848484848486194e-01
1.800000000000000000e+01,7.727272727272725961e-01
1.900000000000000000e+01,6.818181818181818787e-01
2.000000000000000000e+01,5.757575757575758013e-01
2.100000000000000000e+01,4.545454545454545858e-01
2.200000000000000000e+01,3.181818181818182323e-01
2.300000000000000000e+01,1.666666666666666852e-01
2.400000000000000000e+01,0.000000000000000000e+00
