Position,Value
1.000000000000000000e+00,1.399999999999999911e+00
2.000000000000000000e+00,1.379178885630498508e+00
3.000000000000000000e+00,1.358885630498533503e+00
4.000000000000000000e+00,1.339120234604105564e+00
5.000000000000000000e+00,1.319882697947214023e+00
6.000000000000000000e+00,1.301173020527858881e+00
7.000000000000000000e+00,1.282991202346041248e+00
8.000000000000000000e+00,1.265337243401759570e+00
9.000000000000000000e+00,1.248211143695014735e+00
1.000000000000000000e+01,1.231612903225806521e+00
1.100000000000000000e+01,1.215542521994134706e+00
1.200000000000000000e+01,1.200000000000000178e+00
1.300000000000000000e+01,1.184985337243401826e+00
1.400000000000000000e+01,1.170498533724340096e+00
1.500000000000000000e+01,1.156539589442815430e+00
1.600000000000000000e+01,1.143108504398826941e+00
1.700000000000000000e+01,1.130205278592375295e+00
1.800000000000000000e+01,1.117829912023460492e+00
1.900000000000000000e+01,1.105982404692082088e+00
2.000000000000000000e+01,1.094662756598240527e+00
2.100000000000000000e+01,1.083870967741935587e+00
2.200000000000000000e+01,1.073607038123167268e+00
2.300000000000000000e+01,1.063870967741935569e+00
2.400000000000000000e+01,1.054662756598240492e+00
2.500000000000000000e+01,1.045982404692082257e+00
2.600000000000000000e+01,1.037829912023460421e+00
2.700000000000000000e+01,1.030205278592375207e+00
2.800000000000000000e+01,1.023108504398827057e+00
2.900000000000000000e+01,1.016539589442815306e+00
3.000000000000000000e+01,1.010498533724340176e+00
3.100000000000000000e+01,1.004985337243401888e+00
3.200000000000000000e+01,1.000000000000000000e+00
