Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.020821114369501625e+00
3.000000000000000000e+00,1.041114369501466186e+00
4.000000000000000000e+00,1.060879765395894347e+00
5.000000000000000000e+00,1.080117302052785888e+00
6.000000000000000000e+00,1.098826979472140586e+00
7.000000000000000000e+00,1.117008797653958885e+00
8.000000000000000000e+00,1.134662756598240341e+00
9.000000000000000000e+00,1.151788856304985176e+00
1.000000000000000000e+01,1.168387096774193612e+00
1.100000000000000000e+01,1.184457478005864983e+00
1.200000000000000000e+01,1.199999999999999956e+00
1.300000000000000000e+01,1.215014662756598085e+00
1.400000000000000000e+01,1.229501466275659594e+00
1.500000000000000000e+01,1.243460410557184481e+00
1.600000000000000000e+01,1.256891495601172970e+00
1.700000000000000000e+01,1.269794721407624394e+00
1.800000000000000000e+01,1.282170087976539419e+00
1.900000000000000000e+01,1.294017595307917601e+00
2.000000000000000000e+01,1.305337243401759384e+00
2.100000000000000000e+01,1.316129032258064324e+00
2.200000000000000000e+01,1.326392961876832643e+00
2.300000000000000000e+01,1.336129032258064342e+00
2.400000000000000000e+01,1.345337243401759419e+00
2.500000000000000000e+01,1.354017595307917876e+00
2.600000000000000000e+01,1.362170087976539490e+00
2.700000000000000000e+01,1.369794721407624483e+00
2.800000000000000000e+01,1.376891495601172855e+00
2.900000000000000000e+01,1.383460410557184606e+00
3.000000000000000000e+01,1.389501466275659514e+00
3.100000000000000000e+01,1.395014662756598245e+00
3.200000000000000000e+01,1.399999999999999911e+00
