Position,Value
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.205278592375366803e-02
3.000000000000000000e+00,1.027859237536657006e-01
4.000000000000000000e+00,1.521994134897360906e-01
5.000000000000000000e+00,2.002932551319648036e-01
6.000000000000000000e+00,2.470674486803519088e-01
7.000000000000000000e+00,2.925219941348973229e-01
8.000000000000000000e+00,3.366568914956012404e-01
9.000000000000000000e+00,3.794721407624633835e-01
1.000000000000000000e+01,4.209677419354838634e-01
1.100000000000000000e+01,4.611436950146627911e-01
1.200000000000000000e+01,5.000000000000000000e-01
1.300000000000000000e+01,5.375366568914956567e-01
1.400000000000000000e+01,5.737536656891495390e-01
1.500000000000000000e+01,6.086510263929618691e-01
1.600000000000000000e+01,6.422287390029326470e-01
1.700000000000000000e+01,6.744868035190616506e-01
1.800000000000000000e+01,7.054252199413488800e-01
1.900000000000000000e+01,7.350439882697946681e-01
2.000000000000000000e+01,7.633431085043989039e-01
2.100000000000000000e+01,7.903225806451612545e-01
2.200000000000000000e+01,8.159824046920820528e-01
2.300000000000000000e+01,8.403225806451612989e-01
2.400000000000000000e+01,8.633431085043989928e-01
2.500000000000000000e+01,8.850439882697946903e-01
2.600000000000000000e+01,9.054252199413489466e-01
2.700000000000000000e+01,9.244868035190614286e-01
2.800000000000000000e+01,9.422287390029324694e-01
2.900000000000000000e+01,9.586510263929618469e-01
3.000000000000000000e+01,9.737536656891495612e-01
3.100000000000000000e+01,9.875366568914957233e-01
3.200000000000000000e+01,1.000000000000000000e+00
