Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,8.636363636363637575e-01
3.000000000000000000e+00,7.363636363636363313e-01
4.000000000000000000e+00,6.181818181818180546e-01
5.000000000000000000e+00,5.090909090909090384e-01
6.000000000000000000e+00,4.090909090909089496e-01
7.000000000000000000e+00,3.181818181818181768e-01
8.000000000000000000e+00,2.363636363636363036e-01
9.000000000000000000e+00,1.636363636363636354e-01
1.000000000000000000e+01,9.999999999999999167e-02
1.100000000000000000e+01,4.545454545454540030e-02
1.200000000000000000e+01,-2.775557561562891351e-17
1.300000000000000000e+01,-3.636363636363634799e-02
1.400000000000000000e+01,-6.363636363636362980e-02
1.500000000000000000e+01,-8.181818181818176217e-02
1.600000000000000000e+01,-9.090909090909091161e-02
1.700000000000000000e+01,-9.090909090909088386e-02
1.800000000000000000e+01,-8.181818181818178992e-02
1.900000000000000000e+01,-6.363636363636365756e-02
2.000000000000000000e+01,-3.636363636363632024e-02
2.100000000000000000e+01,-5.551115123125782702e-17
2.200000000000000000e+01,4.545454545454541417e-02
2.300000000000000000e+01,9.999999999999997780e-02
2.400000000000000000e+01,1.636363636363636354e-01
2.500000000000000000e+01,2.363636363636363313e-01
2.600000000000000000e+01,3.181818181818181768e-01
2.700000000000000000e+01,4.090909090909089496e-01
2.800000000000000000e+01,5.090909090909090384e-01
2.900000000000000000e+01,6.181818181818180546e-01
3.000000000000000000e+01,7.363636363636363313e-01
3.100000000000000000e+01,8.636363636363637575e-01
3.200000000000000000e+01,1.000000000000000000e+00
