Position,Value
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.710144927536231985e-02
3.000000000000000000e+00,9.387351778656127799e-02
4.000000000000000000e+00,1.403162055335968328e-01
5.000000000000000000e+00,1.864295125164690536e-01
6.000000000000000000e+00,2.322134387351778850e-01
7.000000000000000000e+00,2.776679841897232714e-01
8.000000000000000000e+00,3.227931488801054627e-01
9.000000000000000000e+00,3.675889328063240979e-01
1.000000000000000000e+01,4.120553359683793992e-01
1.100000000000000000e+01,4.561923583662714776e-01
1.200000000000000000e+01,5.000000000000000000e-01
1.300000000000000000e+01,5.434782608695651884e-01
1.400000000000000000e+01,5.866271409749670429e-01
1.500000000000000000e+01,6.294466403162055634e-01
1.600000000000000000e+01,6.719367588932806390e-01
1.700000000000000000e+01,7.140974967061923806e-01
1.800000000000000000e+01,7.559288537549405662e-01
1.900000000000000000e+01,7.974308300395256399e-01
2.000000000000000000e+01,8.386034255599473797e-01
2.100000000000000000e+01,8.794466403162055634e-01
2.200000000000000000e+01,9.199604743083004132e-01
2.300000000000000000e+01,9.601449275362319291e-01
2.400000000000000000e+01,1.000000000000000000e+00
