Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,8.333333333333333703e-01
3.000000000000000000e+00,6.818181818181817677e-01
4.000000000000000000e+00,5.454545454545455252e-01
5.000000000000000000e+00,4.242424242424242542e-01
6.000000000000000000e+00,3.181818181818180657e-01
7.000000000000000000e+00,2.272727272727271819e-01
8.000000000000000000e+00,1.515151515151514361e-01
9.000000000000000000e+00,9.090909090909089774e-02
1.000000000000000000e+01,4.545454545454544193e-02
1.100000000000000000e+01,1.515151515151505479e-02
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.515151515151508255e-02
1.500000000000000000e+01,4.545454545454546968e-02
1.600000000000000000e+01,9.090909090909088386e-02
1.700000000000000000e+01,1.515151515151514361e-01
1.800000000000000000e+01,2.272727272727271819e-01
1.900000000000000000e+01,3.181818181818180657e-01
2.000000000000000000e+01,4.242424242424242542e-01
2.100000000000000000e+01,5.454545454545454142e-01
2.200000000000000000e+01,6.818181818181817677e-01
2.300000000000000000e+01,8.333333333333333703e-01
2.400000000000000000e+01,1.000000000000000000e+00
