Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.479472140762464916e-01
3.000000000000000000e+00,8.972140762463343133e-01
4.000000000000000000e+00,8.478005865102637983e-01
5.000000000000000000e+00,7.997067448680351687e-01
6.000000000000000000e+00,7.529325513196479802e-01
7.000000000000000000e+00,7.074780058651026771e-01
8.000000000000000000e+00,6.633431085043988151e-01
9.000000000000000000e+00,6.205278592375367275e-01
1.000000000000000000e+01,5.790322580645160810e-01
1.100000000000000000e+01,5.388563049853372089e-01
1.200000000000000000e+01,5.000000000000000000e-01
1.300000000000000000e+01,4.624633431085043989e-01
1.400000000000000000e+01,4.262463343108504055e-01
1.500000000000000000e+01,3.913489736070381309e-01
1.600000000000000000e+01,3.577712609970674085e-01
1.700000000000000000e+01,3.255131964809384604e-01
1.800000000000000000e+01,2.945747800586510090e-01
1.900000000000000000e+01,2.649560117302052209e-01
2.000000000000000000e+01,2.366568914956011793e-01
2.100000000000000000e+01,2.096774193548387177e-01
2.200000000000000000e+01,1.840175953079178917e-01
2.300000000000000000e+01,1.596774193548387011e-01
2.400000000000000000e+01,1.366568914956011738e-01
2.500000000000000000e+01,1.149560117302052820e-01
2.600000000000000000e+01,9.457478005865102566e-02
2.700000000000000000e+01,7.551319648093841874e-02
2.800000000000000000e+01,5.777126099706744733e-02
2.900000000000000000e+01,4.134897360703813224e-02
3.000000000000000000e+01,2.624633431085043878e-02
3.100000000000000000e+01,1.246334310850439990e-02
3.200000000000000000e+01,0.000000000000000000e+00
