subject,correct,total,score
econometrics,26,113,0.23008849557522124
conceptual_physics,43,150,0.2866666666666667
international_law,58,120,0.48333333333333334
clinical_knowledge,56,150,0.37333333333333335
jurisprudence,46,107,0.42990654205607476
professional_accounting,48,150,0.32
high_school_microeconomics,53,149,0.35570469798657717
logical_fallacies,46,150,0.30666666666666664
business_ethics,46,86,0.5348837209302325
elementary_mathematics,32,150,0.21333333333333335
high_school_psychology,70,150,0.4666666666666667
sociology,73,150,0.4866666666666667
moral_disputes,53,148,0.3581081081081081
japanese_geography,71,139,0.5107913669064749
high_school_macroeconomics,51,148,0.34459459459459457
high_school_european_history,72,150,0.48
high_school_chemistry,39,149,0.26174496644295303
world_religions,64,147,0.43537414965986393
security_studies,42,150,0.28
electrical_engineering,58,144,0.4027777777777778
high_school_biology,55,148,0.3716216216216216
high_school_physics,38,150,0.25333333333333335
japanese_history,57,150,0.38
high_school_computer_science,40,98,0.40816326530612246
philosophy,63,150,0.42
virology,60,150,0.4
astronomy,43,148,0.2905405405405405
marketing,83,150,0.5533333333333333
college_chemistry,29,99,0.29292929292929293
college_physics,24,100,0.24
college_biology,51,143,0.35664335664335667
world_history,78,150,0.52
professional_psychology,57,150,0.38
high_school_mathematics,42,150,0.28
management,52,102,0.5098039215686274
high_school_statistics,38,150,0.25333333333333335
computer_security,42,99,0.42424242424242425
college_computer_science,41,99,0.41414141414141414
human_aging,73,150,0.4866666666666667
medical_genetics,42,99,0.42424242424242425
college_mathematics,30,99,0.30303030303030304
high_school_geography,68,150,0.4533333333333333
formal_logic,38,125,0.304
anatomy,51,132,0.38636363636363635
machine_learning,30,111,0.2702702702702703
japanese_civics,98,150,0.6533333333333333
human_sexuality,54,130,0.4153846153846154
professional_medicine,43,150,0.2866666666666667
japanese_idiom,123,150,0.82
prehistory,60,150,0.4
abstract_algebra,31,99,0.31313131313131315
college_medicine,48,150,0.32
public_relations,46,109,0.42201834862385323
nutrition,62,149,0.4161073825503356
miscellaneous,61,150,0.4066666666666667
global_facts,21,97,0.21649484536082475
