subject,correct,total,score
econometrics,25,113,0.22123893805309736
conceptual_physics,49,150,0.32666666666666666
international_law,73,120,0.6083333333333333
clinical_knowledge,66,150,0.44
jurisprudence,48,107,0.4485981308411215
professional_accounting,52,150,0.3466666666666667
high_school_microeconomics,56,149,0.37583892617449666
logical_fallacies,58,150,0.38666666666666666
business_ethics,47,86,0.5465116279069767
elementary_mathematics,46,150,0.30666666666666664
high_school_psychology,80,150,0.5333333333333333
sociology,97,150,0.6466666666666666
moral_disputes,66,148,0.44594594594594594
japanese_geography,75,139,0.539568345323741
high_school_macroeconomics,71,148,0.4797297297297297
high_school_european_history,91,150,0.6066666666666667
high_school_chemistry,59,149,0.3959731543624161
world_religions,65,147,0.4421768707482993
security_studies,67,150,0.44666666666666666
electrical_engineering,69,144,0.4791666666666667
high_school_biology,64,148,0.43243243243243246
high_school_physics,41,150,0.2733333333333333
japanese_history,60,150,0.4
high_school_computer_science,44,98,0.4489795918367347
philosophy,67,150,0.44666666666666666
virology,59,150,0.3933333333333333
astronomy,69,148,0.46621621621621623
marketing,89,150,0.5933333333333334
college_chemistry,39,99,0.3939393939393939
college_physics,30,100,0.3
college_biology,59,143,0.4125874125874126
world_history,87,150,0.58
professional_psychology,62,150,0.41333333333333333
high_school_mathematics,50,150,0.3333333333333333
management,54,102,0.5294117647058824
high_school_statistics,57,150,0.38
computer_security,50,99,0.5050505050505051
college_computer_science,42,99,0.42424242424242425
human_aging,60,150,0.4
medical_genetics,44,99,0.4444444444444444
college_mathematics,34,99,0.3434343434343434
high_school_geography,71,150,0.47333333333333333
formal_logic,46,125,0.368
anatomy,56,132,0.42424242424242425
machine_learning,32,111,0.2882882882882883
japanese_civics,92,150,0.6133333333333333
human_sexuality,63,130,0.4846153846153846
professional_medicine,52,150,0.3466666666666667
japanese_idiom,125,150,0.8333333333333334
prehistory,57,150,0.38
abstract_algebra,31,99,0.31313131313131315
college_medicine,75,150,0.5
public_relations,49,109,0.44954128440366975
nutrition,70,149,0.4697986577181208
miscellaneous,69,150,0.46
global_facts,28,97,0.28865979381443296
