subject,correct,total,score
econometrics,27,113,0.23893805309734514
conceptual_physics,64,150,0.4266666666666667
international_law,48,120,0.4
clinical_knowledge,44,150,0.29333333333333333
jurisprudence,36,107,0.3364485981308411
professional_accounting,50,150,0.3333333333333333
high_school_microeconomics,68,149,0.4563758389261745
logical_fallacies,51,150,0.34
business_ethics,41,86,0.47674418604651164
elementary_mathematics,50,150,0.3333333333333333
high_school_psychology,65,150,0.43333333333333335
sociology,86,150,0.5733333333333334
moral_disputes,51,148,0.34459459459459457
japanese_geography,66,139,0.4748201438848921
high_school_macroeconomics,70,148,0.47297297297297297
high_school_european_history,82,150,0.5466666666666666
high_school_chemistry,40,149,0.2684563758389262
world_religions,77,147,0.5238095238095238
security_studies,64,150,0.4266666666666667
electrical_engineering,57,144,0.3958333333333333
high_school_biology,51,148,0.34459459459459457
high_school_physics,44,150,0.29333333333333333
japanese_history,40,150,0.26666666666666666
high_school_computer_science,38,98,0.3877551020408163
philosophy,45,150,0.3
virology,68,150,0.4533333333333333
astronomy,54,148,0.36486486486486486
marketing,86,150,0.5733333333333334
college_chemistry,25,99,0.25252525252525254
college_physics,23,100,0.23
college_biology,47,143,0.32867132867132864
world_history,85,150,0.5666666666666667
professional_psychology,70,150,0.4666666666666667
high_school_mathematics,31,150,0.20666666666666667
management,47,102,0.46078431372549017
high_school_statistics,39,150,0.26
computer_security,47,99,0.47474747474747475
college_computer_science,27,99,0.2727272727272727
human_aging,65,150,0.43333333333333335
medical_genetics,35,99,0.35353535353535354
college_mathematics,37,99,0.37373737373737376
high_school_geography,67,150,0.44666666666666666
formal_logic,40,125,0.32
anatomy,51,132,0.38636363636363635
machine_learning,38,111,0.34234234234234234
japanese_civics,93,150,0.62
human_sexuality,59,130,0.45384615384615384
professional_medicine,46,150,0.30666666666666664
japanese_idiom,119,150,0.7933333333333333
prehistory,59,150,0.3933333333333333
abstract_algebra,21,99,0.21212121212121213
college_medicine,47,150,0.31333333333333335
public_relations,50,109,0.45871559633027525
nutrition,64,149,0.42953020134228187
miscellaneous,64,150,0.4266666666666667
global_facts,27,97,0.27835051546391754
