subject,correct,total,score
abstract_algebra,27,100,0.27
anatomy,72,135,0.5333333333333333
astronomy,88,152,0.5789473684210527
business_ethics,59,100,0.59
clinical_knowledge,161,265,0.6075471698113207
college_biology,88,144,0.6111111111111112
college_chemistry,38,100,0.38
college_computer_science,43,100,0.43
college_mathematics,38,100,0.38
college_medicine,92,173,0.5317919075144508
college_physics,36,102,0.35294117647058826
computer_security,66,100,0.66
conceptual_physics,108,235,0.4595744680851064
econometrics,36,114,0.3157894736842105
electrical_engineering,78,145,0.5379310344827586
elementary_mathematics,132,378,0.3492063492063492
formal_logic,44,126,0.3492063492063492
global_facts,36,100,0.36
high_school_biology,206,310,0.6645161290322581
high_school_chemistry,92,203,0.45320197044334976
high_school_computer_science,53,100,0.53
high_school_european_history,115,165,0.696969696969697
high_school_geography,141,198,0.7121212121212122
high_school_government_and_politics,150,193,0.7772020725388601
high_school_macroeconomics,201,390,0.5153846153846153
high_school_mathematics,80,270,0.2962962962962963
high_school_microeconomics,138,238,0.5798319327731093
high_school_physics,50,151,0.33112582781456956
high_school_psychology,413,545,0.7577981651376147
high_school_statistics,91,216,0.4212962962962963
high_school_us_history,150,204,0.7352941176470589
high_school_world_history,173,237,0.729957805907173
human_aging,141,223,0.6322869955156951
human_sexuality,86,131,0.6564885496183206
international_law,82,121,0.6776859504132231
jurisprudence,72,108,0.6666666666666666
logical_fallacies,109,163,0.6687116564417178
machine_learning,47,112,0.41964285714285715
management,70,103,0.6796116504854369
marketing,192,234,0.8205128205128205
medical_genetics,62,100,0.62
miscellaneous,574,783,0.7330779054916986
moral_disputes,204,346,0.5895953757225434
moral_scenarios,213,895,0.23798882681564246
nutrition,175,306,0.5718954248366013
philosophy,205,311,0.6591639871382636
prehistory,215,324,0.6635802469135802
professional_accounting,118,282,0.41843971631205673
professional_law,583,1534,0.38005215123859193
professional_medicine,162,272,0.5955882352941176
professional_psychology,339,612,0.553921568627451
public_relations,65,110,0.5909090909090909
security_studies,158,245,0.6448979591836734
sociology,158,201,0.7860696517412935
us_foreign_policy,79,100,0.79
virology,75,166,0.45180722891566266
world_religions,136,171,0.7953216374269005
