subject,correct,total,score
abstract_algebra,32,100,0.32
anatomy,63,135,0.4666666666666667
astronomy,75,152,0.4934210526315789
business_ethics,47,100,0.47
clinical_knowledge,128,265,0.4830188679245283
college_biology,66,144,0.4583333333333333
college_chemistry,32,100,0.32
college_computer_science,43,100,0.43
college_mathematics,30,100,0.3
college_medicine,82,173,0.47398843930635837
college_physics,27,102,0.2647058823529412
computer_security,62,100,0.62
conceptual_physics,90,235,0.3829787234042553
econometrics,29,114,0.2543859649122807
electrical_engineering,64,145,0.4413793103448276
elementary_mathematics,121,378,0.3201058201058201
formal_logic,40,126,0.31746031746031744
global_facts,27,100,0.27
high_school_biology,153,310,0.4935483870967742
high_school_chemistry,67,203,0.33004926108374383
high_school_computer_science,44,100,0.44
high_school_european_history,102,165,0.6181818181818182
high_school_geography,112,198,0.5656565656565656
high_school_government_and_politics,119,193,0.616580310880829
high_school_macroeconomics,176,390,0.4512820512820513
high_school_mathematics,80,270,0.2962962962962963
high_school_microeconomics,106,238,0.44537815126050423
high_school_physics,42,151,0.2781456953642384
high_school_psychology,334,545,0.6128440366972477
high_school_statistics,70,216,0.32407407407407407
high_school_us_history,120,204,0.5882352941176471
high_school_world_history,151,237,0.6371308016877637
human_aging,122,223,0.547085201793722
human_sexuality,65,131,0.4961832061068702
international_law,65,121,0.5371900826446281
jurisprudence,56,108,0.5185185185185185
logical_fallacies,75,163,0.4601226993865031
machine_learning,37,112,0.33035714285714285
management,54,103,0.5242718446601942
marketing,159,234,0.6794871794871795
medical_genetics,53,100,0.53
miscellaneous,470,783,0.6002554278416348
moral_disputes,172,346,0.49710982658959535
moral_scenarios,220,895,0.24581005586592178
nutrition,142,306,0.46405228758169936
philosophy,177,311,0.5691318327974276
prehistory,191,324,0.5895061728395061
professional_accounting,97,282,0.34397163120567376
professional_law,498,1534,0.3246414602346806
professional_medicine,112,272,0.4117647058823529
professional_psychology,286,612,0.4673202614379085
public_relations,52,110,0.4727272727272727
security_studies,103,245,0.4204081632653061
sociology,111,201,0.5522388059701493
us_foreign_policy,58,100,0.58
virology,65,166,0.39156626506024095
world_religions,121,171,0.7076023391812866
