subject,correct,total,score
abstract_algebra,29,100,0.29
anatomy,79,135,0.5851851851851851
astronomy,83,152,0.5460526315789473
business_ethics,48,100,0.48
clinical_knowledge,161,265,0.6075471698113207
college_biology,87,144,0.6041666666666666
college_chemistry,37,100,0.37
college_computer_science,36,100,0.36
college_mathematics,42,100,0.42
college_medicine,94,173,0.5433526011560693
college_physics,30,102,0.29411764705882354
computer_security,67,100,0.67
conceptual_physics,115,235,0.48936170212765956
econometrics,30,114,0.2631578947368421
electrical_engineering,72,145,0.496551724137931
elementary_mathematics,127,378,0.335978835978836
formal_logic,52,126,0.4126984126984127
global_facts,25,100,0.25
high_school_biology,203,310,0.6548387096774193
high_school_chemistry,87,203,0.42857142857142855
high_school_computer_science,44,100,0.44
high_school_european_history,113,165,0.6848484848484848
high_school_geography,133,198,0.6717171717171717
high_school_government_and_politics,143,193,0.7409326424870466
high_school_macroeconomics,210,390,0.5384615384615384
high_school_mathematics,76,270,0.2814814814814815
high_school_microeconomics,135,238,0.5672268907563025
high_school_physics,48,151,0.31788079470198677
high_school_psychology,408,545,0.7486238532110092
high_school_statistics,82,216,0.37962962962962965
high_school_us_history,155,204,0.7598039215686274
high_school_world_history,168,237,0.7088607594936709
human_aging,139,223,0.6233183856502242
human_sexuality,81,131,0.6183206106870229
international_law,82,121,0.6776859504132231
jurisprudence,61,108,0.5648148148148148
logical_fallacies,94,163,0.5766871165644172
machine_learning,44,112,0.39285714285714285
management,68,103,0.6601941747572816
marketing,181,234,0.7735042735042735
medical_genetics,57,100,0.57
miscellaneous,572,783,0.7305236270753512
moral_disputes,187,346,0.5404624277456648
moral_scenarios,219,895,0.2446927374301676
nutrition,172,306,0.5620915032679739
philosophy,194,311,0.6237942122186495
prehistory,218,324,0.6728395061728395
professional_accounting,112,282,0.3971631205673759
professional_law,595,1534,0.3878748370273794
professional_medicine,141,272,0.5183823529411765
professional_psychology,340,612,0.5555555555555556
public_relations,65,110,0.5909090909090909
security_studies,151,245,0.6163265306122448
sociology,147,201,0.7313432835820896
us_foreign_policy,74,100,0.74
virology,76,166,0.4578313253012048
world_religions,136,171,0.7953216374269005
