subject,correct,total,score
econometrics,29,113,0.25663716814159293
conceptual_physics,68,150,0.4533333333333333
international_law,52,120,0.43333333333333335
clinical_knowledge,63,150,0.42
jurisprudence,44,107,0.411214953271028
professional_accounting,50,150,0.3333333333333333
high_school_microeconomics,65,149,0.436241610738255
logical_fallacies,45,150,0.3
business_ethics,38,86,0.4418604651162791
elementary_mathematics,41,150,0.2733333333333333
high_school_psychology,69,150,0.46
sociology,73,150,0.4866666666666667
moral_disputes,56,148,0.3783783783783784
japanese_geography,58,139,0.4172661870503597
high_school_macroeconomics,67,148,0.4527027027027027
high_school_european_history,64,150,0.4266666666666667
high_school_chemistry,53,149,0.35570469798657717
world_religions,72,147,0.4897959183673469
security_studies,68,150,0.4533333333333333
electrical_engineering,66,144,0.4583333333333333
high_school_biology,59,148,0.39864864864864863
high_school_physics,36,150,0.24
japanese_history,44,150,0.29333333333333333
high_school_computer_science,33,98,0.336734693877551
philosophy,64,150,0.4266666666666667
virology,63,150,0.42
astronomy,63,148,0.42567567567567566
marketing,90,150,0.6
college_chemistry,29,99,0.29292929292929293
college_physics,28,100,0.28
college_biology,44,143,0.3076923076923077
world_history,88,150,0.5866666666666667
professional_psychology,65,150,0.43333333333333335
high_school_mathematics,41,150,0.2733333333333333
management,49,102,0.4803921568627451
high_school_statistics,56,150,0.37333333333333335
computer_security,42,99,0.42424242424242425
college_computer_science,40,99,0.40404040404040403
human_aging,60,150,0.4
medical_genetics,35,99,0.35353535353535354
college_mathematics,32,99,0.32323232323232326
high_school_geography,79,150,0.5266666666666666
formal_logic,40,125,0.32
anatomy,47,132,0.3560606060606061
machine_learning,38,111,0.34234234234234234
japanese_civics,89,150,0.5933333333333334
human_sexuality,54,130,0.4153846153846154
professional_medicine,59,150,0.3933333333333333
japanese_idiom,109,150,0.7266666666666667
prehistory,57,150,0.38
abstract_algebra,28,99,0.2828282828282828
college_medicine,50,150,0.3333333333333333
public_relations,46,109,0.42201834862385323
nutrition,64,149,0.42953020134228187
miscellaneous,70,150,0.4666666666666667
global_facts,33,97,0.3402061855670103
