subject,correct,total,score
econometrics,27,113,0.23893805309734514
conceptual_physics,47,150,0.31333333333333335
international_law,50,120,0.4166666666666667
clinical_knowledge,46,150,0.30666666666666664
jurisprudence,38,107,0.35514018691588783
professional_accounting,33,150,0.22
high_school_microeconomics,48,149,0.3221476510067114
logical_fallacies,47,150,0.31333333333333335
business_ethics,40,86,0.46511627906976744
elementary_mathematics,38,150,0.25333333333333335
high_school_psychology,48,150,0.32
sociology,50,150,0.3333333333333333
moral_disputes,58,148,0.3918918918918919
japanese_geography,46,139,0.33093525179856115
high_school_macroeconomics,52,148,0.35135135135135137
high_school_european_history,60,150,0.4
high_school_chemistry,42,149,0.28187919463087246
world_religions,50,147,0.3401360544217687
security_studies,39,150,0.26
electrical_engineering,54,144,0.375
high_school_biology,51,148,0.34459459459459457
high_school_physics,47,150,0.31333333333333335
japanese_history,43,150,0.2866666666666667
high_school_computer_science,34,98,0.3469387755102041
philosophy,59,150,0.3933333333333333
virology,43,150,0.2866666666666667
astronomy,54,148,0.36486486486486486
marketing,59,150,0.3933333333333333
college_chemistry,30,99,0.30303030303030304
college_physics,17,100,0.17
college_biology,41,143,0.2867132867132867
world_history,61,150,0.4066666666666667
professional_psychology,52,150,0.3466666666666667
high_school_mathematics,33,150,0.22
management,32,102,0.3137254901960784
high_school_statistics,31,150,0.20666666666666667
computer_security,35,99,0.35353535353535354
college_computer_science,34,99,0.3434343434343434
human_aging,54,150,0.36
medical_genetics,33,99,0.3333333333333333
college_mathematics,29,99,0.29292929292929293
high_school_geography,65,150,0.43333333333333335
formal_logic,25,125,0.2
anatomy,50,132,0.3787878787878788
machine_learning,31,111,0.27927927927927926
japanese_civics,71,150,0.47333333333333333
human_sexuality,47,130,0.36153846153846153
professional_medicine,47,150,0.31333333333333335
japanese_idiom,81,150,0.54
prehistory,57,150,0.38
abstract_algebra,35,99,0.35353535353535354
college_medicine,52,150,0.3466666666666667
public_relations,33,109,0.30275229357798167
nutrition,44,149,0.2953020134228188
miscellaneous,54,150,0.36
global_facts,28,97,0.28865979381443296
