subject,correct,total,score
econometrics,17,113,0.1504424778761062
conceptual_physics,42,150,0.28
international_law,37,120,0.30833333333333335
clinical_knowledge,43,150,0.2866666666666667
jurisprudence,32,107,0.29906542056074764
professional_accounting,44,150,0.29333333333333333
high_school_microeconomics,37,149,0.2483221476510067
logical_fallacies,42,150,0.28
business_ethics,31,86,0.36046511627906974
elementary_mathematics,42,150,0.28
high_school_psychology,39,150,0.26
sociology,53,150,0.35333333333333333
moral_disputes,35,148,0.23648648648648649
japanese_geography,45,139,0.3237410071942446
high_school_macroeconomics,52,148,0.35135135135135137
high_school_european_history,47,150,0.31333333333333335
high_school_chemistry,36,149,0.24161073825503357
world_religions,44,147,0.29931972789115646
security_studies,40,150,0.26666666666666666
electrical_engineering,45,144,0.3125
high_school_biology,41,148,0.27702702702702703
high_school_physics,28,150,0.18666666666666668
japanese_history,47,150,0.31333333333333335
high_school_computer_science,36,98,0.3673469387755102
philosophy,38,150,0.25333333333333335
virology,33,150,0.22
astronomy,42,148,0.28378378378378377
marketing,54,150,0.36
college_chemistry,26,99,0.26262626262626265
college_physics,16,100,0.16
college_biology,39,143,0.2727272727272727
world_history,54,150,0.36
professional_psychology,32,150,0.21333333333333335
high_school_mathematics,38,150,0.25333333333333335
management,30,102,0.29411764705882354
high_school_statistics,35,150,0.23333333333333334
computer_security,38,99,0.3838383838383838
college_computer_science,31,99,0.31313131313131315
human_aging,41,150,0.2733333333333333
medical_genetics,33,99,0.3333333333333333
college_mathematics,27,99,0.2727272727272727
high_school_geography,52,150,0.3466666666666667
formal_logic,38,125,0.304
anatomy,40,132,0.30303030303030304
machine_learning,37,111,0.3333333333333333
japanese_civics,58,150,0.38666666666666666
human_sexuality,53,130,0.4076923076923077
professional_medicine,44,150,0.29333333333333333
japanese_idiom,77,150,0.5133333333333333
prehistory,50,150,0.3333333333333333
abstract_algebra,27,99,0.2727272727272727
college_medicine,40,150,0.26666666666666666
public_relations,32,109,0.29357798165137616
nutrition,54,149,0.3624161073825503
miscellaneous,48,150,0.32
global_facts,36,97,0.3711340206185567
