subject,correct,total,score
econometrics,25,113,0.22123893805309736
conceptual_physics,68,150,0.4533333333333333
international_law,52,120,0.43333333333333335
clinical_knowledge,54,150,0.36
jurisprudence,42,107,0.3925233644859813
professional_accounting,49,150,0.32666666666666666
high_school_microeconomics,69,149,0.46308724832214765
logical_fallacies,52,150,0.3466666666666667
business_ethics,41,86,0.47674418604651164
elementary_mathematics,49,150,0.32666666666666666
high_school_psychology,74,150,0.49333333333333335
sociology,90,150,0.6
moral_disputes,55,148,0.3716216216216216
japanese_geography,63,139,0.45323741007194246
high_school_macroeconomics,73,148,0.49324324324324326
high_school_european_history,84,150,0.56
high_school_chemistry,49,149,0.3288590604026846
world_religions,78,147,0.5306122448979592
security_studies,69,150,0.46
electrical_engineering,49,144,0.3402777777777778
high_school_biology,52,148,0.35135135135135137
high_school_physics,41,150,0.2733333333333333
japanese_history,45,150,0.3
high_school_computer_science,39,98,0.3979591836734694
philosophy,49,150,0.32666666666666666
virology,64,150,0.4266666666666667
astronomy,62,148,0.4189189189189189
marketing,99,150,0.66
college_chemistry,26,99,0.26262626262626265
college_physics,25,100,0.25
college_biology,53,143,0.3706293706293706
world_history,92,150,0.6133333333333333
professional_psychology,76,150,0.5066666666666667
high_school_mathematics,33,150,0.22
management,46,102,0.45098039215686275
high_school_statistics,40,150,0.26666666666666666
computer_security,49,99,0.494949494949495
college_computer_science,29,99,0.29292929292929293
human_aging,71,150,0.47333333333333333
medical_genetics,35,99,0.35353535353535354
college_mathematics,32,99,0.32323232323232326
high_school_geography,70,150,0.4666666666666667
formal_logic,33,125,0.264
anatomy,49,132,0.3712121212121212
machine_learning,34,111,0.3063063063063063
japanese_civics,96,150,0.64
human_sexuality,58,130,0.4461538461538462
professional_medicine,53,150,0.35333333333333333
japanese_idiom,121,150,0.8066666666666666
prehistory,62,150,0.41333333333333333
abstract_algebra,23,99,0.23232323232323232
college_medicine,54,150,0.36
public_relations,46,109,0.42201834862385323
nutrition,61,149,0.40939597315436244
miscellaneous,70,150,0.4666666666666667
global_facts,36,97,0.3711340206185567
