subject,correct,total,score
econometrics,30,113,0.26548672566371684
conceptual_physics,56,150,0.37333333333333335
international_law,65,120,0.5416666666666666
clinical_knowledge,58,150,0.38666666666666666
jurisprudence,44,107,0.411214953271028
professional_accounting,49,150,0.32666666666666666
high_school_microeconomics,75,149,0.5033557046979866
logical_fallacies,53,150,0.35333333333333333
business_ethics,40,86,0.46511627906976744
elementary_mathematics,59,150,0.3933333333333333
high_school_psychology,73,150,0.4866666666666667
sociology,97,150,0.6466666666666666
moral_disputes,55,148,0.3716216216216216
japanese_geography,66,139,0.4748201438848921
high_school_macroeconomics,77,148,0.5202702702702703
high_school_european_history,90,150,0.6
high_school_chemistry,54,149,0.3624161073825503
world_religions,85,147,0.5782312925170068
security_studies,70,150,0.4666666666666667
electrical_engineering,54,144,0.375
high_school_biology,60,148,0.40540540540540543
high_school_physics,50,150,0.3333333333333333
japanese_history,43,150,0.2866666666666667
high_school_computer_science,44,98,0.4489795918367347
philosophy,59,150,0.3933333333333333
virology,64,150,0.4266666666666667
astronomy,66,148,0.44594594594594594
marketing,92,150,0.6133333333333333
college_chemistry,33,99,0.3333333333333333
college_physics,30,100,0.3
college_biology,49,143,0.34265734265734266
world_history,95,150,0.6333333333333333
professional_psychology,67,150,0.44666666666666666
high_school_mathematics,36,150,0.24
management,47,102,0.46078431372549017
high_school_statistics,54,150,0.36
computer_security,52,99,0.5252525252525253
college_computer_science,31,99,0.31313131313131315
human_aging,62,150,0.41333333333333333
medical_genetics,42,99,0.42424242424242425
college_mathematics,33,99,0.3333333333333333
high_school_geography,82,150,0.5466666666666666
formal_logic,39,125,0.312
anatomy,48,132,0.36363636363636365
machine_learning,36,111,0.32432432432432434
japanese_civics,99,150,0.66
human_sexuality,66,130,0.5076923076923077
professional_medicine,59,150,0.3933333333333333
japanese_idiom,124,150,0.8266666666666667
prehistory,63,150,0.42
abstract_algebra,25,99,0.25252525252525254
college_medicine,53,150,0.35333333333333333
public_relations,46,109,0.42201834862385323
nutrition,70,149,0.4697986577181208
miscellaneous,76,150,0.5066666666666667
global_facts,32,97,0.32989690721649484
