Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.018840579710144967e+00
3.000000000000000000e+00,1.037549407114624511e+00
4.000000000000000000e+00,1.056126482213438855e+00
5.000000000000000000e+00,1.074571805006587777e+00
6.000000000000000000e+00,1.092885375494071054e+00
7.000000000000000000e+00,1.111067193675888909e+00
8.000000000000000000e+00,1.129117259552042229e+00
9.000000000000000000e+00,1.147035573122529462e+00
1.000000000000000000e+01,1.164822134387351715e+00
1.100000000000000000e+01,1.182476943346508325e+00
1.200000000000000000e+01,1.199999999999999956e+00
1.300000000000000000e+01,1.217391304347825942e+00
1.400000000000000000e+01,1.234650856389986728e+00
1.500000000000000000e+01,1.251778656126482092e+00
1.600000000000000000e+01,1.268774703557312256e+00
1.700000000000000000e+01,1.285638998682476775e+00
1.800000000000000000e+01,1.302371541501976093e+00
1.900000000000000000e+01,1.318972332015810212e+00
2.000000000000000000e+01,1.335441370223978907e+00
2.100000000000000000e+01,1.351778656126481959e+00
2.200000000000000000e+01,1.367984189723320032e+00
2.300000000000000000e+01,1.384057971014492905e+00
2.400000000000000000e+01,1.399999999999999911e+00
