Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.054545454545454675e+00
3.000000000000000000e+00,1.105454545454545245e+00
4.000000000000000000e+00,1.152727272727272823e+00
5.000000000000000000e+00,1.196363636363636296e+00
6.000000000000000000e+00,1.236363636363636109e+00
7.000000000000000000e+00,1.272727272727272707e+00
8.000000000000000000e+00,1.305454545454545423e+00
9.000000000000000000e+00,1.334545454545454701e+00
1.000000000000000000e+01,1.360000000000000098e+00
1.100000000000000000e+01,1.381818181818181612e+00
1.200000000000000000e+01,1.399999999999999911e+00
1.300000000000000000e+01,1.414545454545454328e+00
1.400000000000000000e+01,1.425454545454545308e+00
1.500000000000000000e+01,1.432727272727272627e+00
1.600000000000000000e+01,1.436363636363636287e+00
1.700000000000000000e+01,1.436363636363636287e+00
1.800000000000000000e+01,1.432727272727272627e+00
1.900000000000000000e+01,1.425454545454545086e+00
2.000000000000000000e+01,1.414545454545454328e+00
2.100000000000000000e+01,1.399999999999999911e+00
2.200000000000000000e+01,1.381818181818181612e+00
2.300000000000000000e+01,1.359999999999999876e+00
2.400000000000000000e+01,1.334545454545454701e+00
2.500000000000000000e+01,1.305454545454545423e+00
2.600000000000000000e+01,1.272727272727272485e+00
2.700000000000000000e+01,1.236363636363636331e+00
2.800000000000000000e+01,1.196363636363636296e+00
2.900000000000000000e+01,1.152727272727272601e+00
3.000000000000000000e+01,1.105454545454545467e+00
3.100000000000000000e+01,1.054545454545454675e+00
3.200000000000000000e+01,1.000000000000000000e+00
