Position,Value
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.363636363636363535e-01
3.000000000000000000e+00,2.636363636363636131e-01
4.000000000000000000e+00,3.818181818181818343e-01
5.000000000000000000e+00,4.909090909090908506e-01
6.000000000000000000e+00,5.909090909090908283e-01
7.000000000000000000e+00,6.818181818181817677e-01
8.000000000000000000e+00,7.636363636363636687e-01
9.000000000000000000e+00,8.363636363636364202e-01
1.000000000000000000e+01,8.999999999999999112e-01
1.100000000000000000e+01,9.545454545454544748e-01
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.036363636363636376e+00
1.400000000000000000e+01,1.063636363636363491e+00
1.500000000000000000e+01,1.081818181818181790e+00
1.600000000000000000e+01,1.090909090909090828e+00
1.700000000000000000e+01,1.090909090909090828e+00
1.800000000000000000e+01,1.081818181818181790e+00
1.900000000000000000e+01,1.063636363636363491e+00
2.000000000000000000e+01,1.036363636363636376e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,9.545454545454544748e-01
2.300000000000000000e+01,8.999999999999999112e-01
2.400000000000000000e+01,8.363636363636364202e-01
2.500000000000000000e+01,7.636363636363636687e-01
2.600000000000000000e+01,6.818181818181817677e-01
2.700000000000000000e+01,5.909090909090908283e-01
2.800000000000000000e+01,4.909090909090908506e-01
2.900000000000000000e+01,3.818181818181818343e-01
3.000000000000000000e+01,2.636363636363636131e-01
3.100000000000000000e+01,1.363636363636363535e-01
3.200000000000000000e+01,0.000000000000000000e+00
